name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
"Interio Crafts Iron Bird Lantern with Bells and Wall Stand, Lantern with T-Light and Diya Holder for Home and Garden Decor...",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/714SCs7k0hL._AC_UL320_.jpg,https://www.amazon.in/Interio-Crafts-Lantern-T-Light-Antique/dp/B08KQ3B81G/ref=sr_1_1122?qid=1679213439&s=kitchen&sr=1-1122,4.6,589,"₹1,299","₹1,999",5110
Titan Contemporary Wooden Finish White Wall Clock with Thermometer & Hygrometer - 30 cm x 30 cm (Medium),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/61zKqyNtXZS._AC_UL320_.jpg,https://www.amazon.in/Titan-Plastic-Wooden-Thermometer-Hygrometer/dp/B0977HRSTD/ref=sr_1_1123?qid=1679213439&s=kitchen&sr=1-1123,4.2,39,,"₹1,695",5111
FARKRAFT White Donut Vase Ceramic Vase for Pampas Grass Home Decor Items for Living Room Bedroom Accessories Dried Flower ...,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/61dbkrT-SVL._AC_UL320_.jpg,https://www.amazon.in/Farkraft-Owl-Planter-Decorative-Succulents/dp/B08LC8TLC9/ref=sr_1_1124?qid=1679213439&s=kitchen&sr=1-1124,4.4,148,₹479,₹999,5112
QROUN CERAMICS Islamic Wall Clock Surah Al Ikhlas Acrylic Islamic Clock | Islamic Wall Art Wall Clock Black and Golden Col...,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/61godEcVGVL._AC_UL320_.jpg,https://www.amazon.in/QROUN-CERAMICS-Islamic-Acrylic-Size12x12/dp/B0BGMJCF2T/ref=sr_1_1125?qid=1679213439&s=kitchen&sr=1-1125,3.4,39,,,5113
"Onlinetree 5 in 1 Rose, Sandal, Loban, Mogra, Pineapple Flavour Fragrance Agarbatti/Incense Sticks/for Pooja/Mandir 900 Gram",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71qkP+H5lJL._AC_UL320_.jpg,https://www.amazon.in/Onlinetree-Pineapple-Flavour-Fragrance-Agarbatti/dp/B09F68M9FW/ref=sr_1_1126?qid=1679213439&s=kitchen&sr=1-1126,3.9,183,₹361,₹699,5114
"SOFIX Beautiful Artificial Pink Flower Pot- 40cm (Pink), Artificial Flora",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/61IEbQJOGLL._AC_UL320_.jpg,https://www.amazon.in/Sofix-Artificial-Flower-Decor-Sticks/dp/B07B9QZVDW/ref=sr_1_1127?qid=1679213439&s=kitchen&sr=1-1127,4.1,"1,130",₹259,₹799,5115
THE NILGIRIS EUCALYPTUS OIL & ESSENTIAL OILS DISTILLERY TNEOEOD Pure and Natural Therapeutic Grade A Ooty Eucalyptus Oil 3...,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/41YBiNGDfvL._AC_UL320_.jpg,https://www.amazon.in/NILGIRIS-EUCALYPTUS-ESSENTIAL-OILS-DISTILLERY/dp/B08FFQN4HQ/ref=sr_1_1128?qid=1679213439&s=kitchen&sr=1-1128,4.0,598,₹206,₹300,5116
Amazon Brand - Presto! Naphthalene Balls - 200 g (Pack of 10),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71WJoUNevBL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Presto-Naphthalene-Balls/dp/B096KX9N3X/ref=sr_1_1369?qid=1679213443&s=kitchen&sr=1-1369,4.3,85,₹729,"₹1,000",5117
Collectible India Brass Diya Lamp Lotus Shape -Decorative Akhand Deepak for Pooja - Set of 2 (Gold_3 X 3 X 1.5 Inches),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71cOaj+wTvL._AC_UL320_.jpg,https://www.amazon.in/Collectible-India-Antique-Finish-Articles/dp/B07JDTZVT6/ref=sr_1_1370?qid=1679213443&s=kitchen&sr=1-1370,3.8,"1,079",₹279,₹499,5118
Crafts World Wooden Home Decorative Wall Hanging | Printed Designer Wall Hanging | Home Decor | Wall Hanging For Living Ro...,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71p+gnPnyAL._AC_UL320_.jpg,https://www.amazon.in/Crafts-World-Decorative-Hanging-Designer/dp/B09HHQDPCZ/ref=sr_1_1371?qid=1679213443&s=kitchen&sr=1-1371,4.2,370,₹179,₹999,5119
